month,average_price
2015-01,50.93226051923954
2015-02,46.43629716016041
2015-03,24.083820235683984
2015-04,25.50914157451737
2015-05,25.772543699252907
2015-06,21.109015055005287
2015-07,18.746336744542862
2015-08,12.889001196528232
2015-09,9.937852465894514
2015-10,11.340333784524718
2015-11,17.513960702967477
2015-12,18.128095599687946
2016-01,22.384773106523344
2016-02,20.604056432087006
2016-03,19.946208035678495
2016-04,15.148174328380302
2016-05,12.812182207333166
2016-06,18.837262849557433
2016-07,30.065551544445757
2016-08,24.830110479678073
2016-09,21.26022481402019
2016-10,21.38539450442786
2016-11,18.75078501368243
2016-12,17.545931814162078
2017-01,13.195916179457454
2017-02,10.607498928277844
2017-03,11.787331973570618
2017-04,9.077708909798265
2017-05,7.7300224247159655
2017-06,6.902704515726672
2017-07,6.9039489802422
2017-08,8.069054566806416
2017-09,4.014165407955453
2017-10,2.171739844179769
2017-11,1.619701875555053
2017-12,1.8322878443534043
2018-01,1.5902278091236506
2018-02,1.2168097360208456
2018-03,0.9924237539330182
2018-04,0.10675216841190036
2018-05,-0.8787594122761869
2018-06,-1.064920086363652
2018-07,-0.7894894201028501
2018-08,-0.6867632104247503
2018-09,-0.5799218227265348
2018-10,-0.640609398607246
2018-11,-0.8986519572001067
2018-12,-0.8900080671994014
2019-01,-0.5343938322041549
2019-02,-1.8735048155942071
2019-03,-2.6354406965660626
2019-04,-3.2201158148940405
2019-05,-4.154417881345055
2019-06,-6.079073667998232
2019-07,-5.49701023316791
2019-08,-4.49901390373761
2019-09,-4.941751303215499
2019-10,-4.690937387198402
2019-11,-3.366258123525778
2019-12,-2.8414168849070225
