month,average_price
2015-01,1784.7104356909272
2015-02,1821.895878008049
2015-03,1584.392130123186
2015-04,1573.2331893043026
2015-05,1637.1636525451315
2015-06,1468.0178672717163
2015-07,1320.1319924800218
2015-08,1318.00347519697
2015-09,1374.8820809278884
2015-10,1212.278569102609
2015-11,1029.9186590165684
2015-12,860.0343084527664
2016-01,930.227768676545
2016-02,917.8067626819296
2016-03,712.27893202455
2016-04,669.4354097253998
2016-05,660.1173988075815
2016-06,614.1165498052576
2016-07,665.6789767995609
2016-08,845.7588487441207
2016-09,917.3304378959702
2016-10,858.719155051929
2016-11,886.5123896561585
2016-12,977.3776142352655
2017-01,902.1164793787134
2017-02,803.5789156823869
2017-03,783.3137865574568
2017-04,783.8552105842199
2017-05,644.4323396194162
2017-06,608.4597086846335
2017-07,449.58078699309056
2017-08,394.07019334251066
2017-09,356.0700028082734
2017-10,355.2838038846743
2017-11,298.2634863853368
2017-12,224.14454261856181
2018-01,226.43115954664455
2018-02,212.63164706451516
2018-03,156.39316900836678
2018-04,122.67273406806981
2018-05,116.18121146755993
2018-06,111.46694009074207
2018-07,117.48485454900637
2018-08,113.5257298131569
2018-09,104.34011567762703
2018-10,96.49751909034617
2018-11,92.5604090579354
2018-12,95.82496236768031
2019-01,91.18305848593418
2019-02,71.32335843719764
2019-03,63.393761727791926
2019-04,67.13403825107447
2019-05,59.36360139699196
2019-06,45.59916594195258
2019-07,49.04890301841983
2019-08,51.51977030061498
2019-09,51.68645698994916
2019-10,36.28906287084152
2019-11,28.551036356495974
2019-12,28.971307020710825
