month,average_price
2015-01,4.858852280915428
2015-02,5.887046962728421
2015-03,7.237218783078384
2015-04,8.862149987597125
2015-05,10.042951113479594
2015-06,10.834517862523203
2015-07,11.57635355027306
2015-08,12.37989384451691
2015-09,13.595048247241037
2015-10,15.50690279728118
2015-11,16.260404513309123
2015-12,17.209570559117445
2016-01,16.558563052972197
2016-02,17.387415454535784
2016-03,18.01308556117619
2016-04,19.613484379816416
2016-05,19.540202356826985
2016-06,20.96500854815013
2016-07,21.189636591882817
2016-08,19.74826691046053
2016-09,19.431366425931728
2016-10,22.513843470875578
2016-11,28.00622859576159
2016-12,36.75923536624207
2017-01,42.71962559547299
2017-02,45.78894824767292
2017-03,58.82363910150853
2017-04,65.5834639295733
2017-05,69.7129867416326
2017-06,75.46291154648893
2017-07,78.9072093929932
2017-08,85.95972051212786
2017-09,85.32829389108676
2017-10,93.77292692390766
2017-11,96.55327915343014
2017-12,98.30590314995649
2018-01,104.31162885020134
2018-02,115.33180645577468
2018-03,132.0941019226365
2018-04,134.8388053661259
2018-05,149.38280024051963
2018-06,170.01047361567336
2018-07,170.28792815882156
2018-08,179.89149917894562
2018-09,199.11655277944777
2018-10,215.34437883990648
2018-11,233.84440387054144
2018-12,256.29612126492987
2019-01,224.3948088212059
2019-02,248.20300438132435
2019-03,263.46420697224613
2019-04,268.9214840636446
2019-05,258.5624010897567
2019-06,253.33206604964386
2019-07,294.25797555132647
2019-08,309.3591611314463
2019-09,315.3265473031484
2019-10,363.6274845430409
2019-11,383.7447541455079
2019-12,425.33998998227366
